run_id,seed,subset,subset_position,sample_index,sample_id,response_binary
faithful-seed-1,1,test,9,19,R2C4,1
faithful-seed-1,1,test,10,10,R12C3,1
faithful-seed-2,2,train,0,10,R12C3,1
faithful-seed-2,2,train,1,38,R6C4,1
faithful-seed-2,2,train,2,50,R9C1,1
faithful-seed-2,2,train,3,49,R8C5,1
faithful-seed-2,2,train,4,23,R3C3,1
faithful-seed-2,2,train,5,44,R7C5,0
faithful-seed-2,2,train,6,17,R2C2,1
faithful-seed-2,2,train,7,52,R9C3,0
faithful-seed-2,2,train,8,30,R4C5,1
faithful-seed-2,2,train,9,47,R8C3,1
faithful-seed-2,2,train,10,12,R12C5,0
faithful-seed-2,2,train,11,29,R4C4,1
faithful-seed-2,2,train,12,37,R6C3,1
faithful-seed-2,2,train,13,16,R1C5,0
faithful-seed-2,2,train,14,2,R10C4,0
faithful-seed-2,2,train,15,25,R3C5,1
faithful-seed-2,2,train,16,19,R2C4,1
faithful-seed-2,2,train,17,6,R11C4,1
faithful-seed-2,2,train,18,14,R1C3,0
faithful-seed-2,2,train,19,35,R6C1,1
faithful-seed-2,2,train,20,24,R3C4,0
faithful-seed-2,2,train,21,5,R11C3,0
faithful-seed-2,2,train,22,36,R6C2,1
faithful-seed-2,2,train,23,33,R5C4,0
faithful-seed-2,2,train,24,4,R11C1,0
faithful-seed-2,2,train,25,3,R10C5,0
faithful-seed-2,2,train,26,20,R2C5,1
faithful-seed-2,2,train,27,26,R4C1,1
faithful-seed-2,2,train,28,42,R7C3,0
faithful-seed-2,2,train,29,21,R3C1,0
faithful-seed-2,2,train,30,46,R8C2,1
faithful-seed-2,2,train,31,31,R5C1,0
faithful-seed-2,2,train,32,34,R5C5,0
faithful-seed-2,2,train,33,7,R11C5,0
faithful-seed-2,2,train,34,53,R9C4,1
faithful-seed-2,2,train,35,11,R12C4,0
faithful-seed-2,2,train,36,18,R2C3,0
faithful-seed-2,2,train,37,43,R7C4,1
faithful-seed-2,2,train,38,22,R3C2,0
faithful-seed-2,2,train,39,8,R12C1,1
faithful-seed-2,2,train,40,45,R8C1,0
faithful-seed-2,2,train,41,15,R1C4,0
faithful-seed-2,2,train,42,40,R7C1,0
faithful-seed-2,2,test,0,32,R5C3,0
faithful-seed-2,2,test,1,27,R4C2,0
faithful-seed-2,2,test,2,48,R8C4,0
faithful-seed-2,2,test,3,41,R7C2,1
faithful-seed-2,2,test,4,51,R9C2,1
faithful-seed-2,2,test,5,0,R10C2,0
faithful-seed-2,2,test,6,28,R4C3,0
faithful-seed-2,2,test,7,1,R10C3,0
faithful-seed-2,2,test,8,39,R6C5,0
faithful-seed-2,2,test,9,13,R1C2,0
faithful-seed-2,2,test,10,9,R12C2,0
faithful-seed-3,3,train,0,18,R2C3,0
faithful-seed-3,3,train,1,35,R6C1,1
faithful-seed-3,3,train,2,30,R4C5,1
faithful-seed-3,3,train,3,52,R9C3,0
faithful-seed-3,3,train,4,4,R11C1,0
faithful-seed-3,3,train,5,27,R4C2,0
faithful-seed-3,3,train,6,16,R1C5,0
faithful-seed-3,3,train,7,15,R1C4,0
faithful-seed-3,3,train,8,23,R3C3,1
faithful-seed-3,3,train,9,11,R12C4,0
faithful-seed-3,3,train,10,7,R11C5,0
faithful-seed-3,3,train,11,45,R8C1,0
faithful-seed-3,3,train,12,44,R7C5,0
faithful-seed-3,3,train,13,37,R6C3,1
faithful-seed-3,3,train,14,50,R9C1,1
faithful-seed-3,3,train,15,5,R11C3,0
faithful-seed-3,3,train,16,34,R5C5,0
faithful-seed-3,3,train,17,47,R8C3,1
faithful-seed-3,3,train,18,1,R10C3,0
faithful-seed-3,3,train,19,28,R4C3,0
faithful-seed-3,3,train,20,40,R7C1,0
faithful-seed-3,3,train,21,2,R10C4,0
faithful-seed-3,3,train,22,22,R3C2,0
faithful-seed-3,3,train,23,36,R6C2,1
faithful-seed-3,3,train,24,17,R2C2,1
faithful-seed-3,3,train,25,26,R4C1,1
faithful-seed-3,3,train,26,14,R1C3,0
faithful-seed-3,3,train,27,29,R4C4,1
faithful-seed-3,3,train,28,20,R2C5,1
faithful-seed-3,3,train,29,32,R5C3,0
faithful-seed-3,3,train,30,38,R6C4,1
faithful-seed-3,3,train,31,48,R8C4,0
faithful-seed-3,3,train,32,46,R8C2,1
faithful-seed-3,3,train,33,41,R7C2,1
faithful-seed-3,3,train,34,43,R7C4,1
faithful-seed-3,3,train,35,10,R12C3,1
faithful-seed-3,3,train,36,19,R2C4,1
faithful-seed-3,3,train,37,21,R3C1,0
faithful-seed-3,3,train,38,0,R10C2,0
faithful-seed-3,3,train,39,8,R12C1,1
faithful-seed-3,3,train,40,3,R10C5,0
faithful-seed-3,3,train,41,24,R3C4,0
faithful-seed-3,3,train,42,42,R7C3,0
faithful-seed-3,3,test,0,12,R12C5,0
faithful-seed-3,3,test,1,33,R5C4,0
faithful-seed-3,3,test,2,9,R12C2,0
faithful-seed-3,3,test,3,51,R9C2,1
faithful-seed-3,3,test,4,39,R6C5,0
faithful-seed-3,3,test,5,31,R5C1,0
faithful-seed-3,3,test,6,13,R1C2,0
faithful-seed-3,3,test,7,25,R3C5,1
faithful-seed-3,3,test,8,49,R8C5,1
faithful-seed-3,3,test,9,6,R11C4,1
faithful-seed-3,3,test,10,53,R9C4,1
faithful-seed-4,4,train,0,34,R5C5,0
faithful-seed-4,4,train,1,11,R12C4,0
faithful-seed-4,4,train,2,14,R1C3,0
faithful-seed-4,4,train,3,42,R7C3,0
faithful-seed-4,4,train,4,24,R3C4,0
faithful-seed-4,4,train,5,16,R1C5,0
faithful-seed-4,4,train,6,32,R5C3,0
faithful-seed-4,4,train,7,15,R1C4,0
faithful-seed-4,4,train,8,27,R4C2,0
faithful-seed-4,4,train,9,18,R2C3,0
faithful-seed-4,4,train,10,43,R7C4,1
faithful-seed-4,4,train,11,25,R3C5,1
faithful-seed-4,4,train,12,29,R4C4,1
faithful-seed-4,4,train,13,51,R9C2,1
faithful-seed-4,4,train,14,13,R1C2,0
faithful-seed-4,4,train,15,10,R12C3,1
faithful-seed-4,4,train,16,19,R2C4,1
faithful-seed-4,4,train,17,33,R5C4,0
faithful-seed-4,4,train,18,53,R9C4,1
faithful-seed-4,4,train,19,49,R8C5,1
faithful-seed-4,4,train,20,26,R4C1,1
faithful-seed-4,4,train,21,35,R6C1,1
faithful-seed-4,4,train,22,48,R8C4,0
faithful-seed-4,4,train,23,44,R7C5,0
faithful-seed-4,4,train,24,2,R10C4,0
faithful-seed-4,4,train,25,47,R8C3,1
faithful-seed-4,4,train,26,41,R7C2,1
faithful-seed-4,4,train,27,21,R3C1,0
faithful-seed-4,4,train,28,0,R10C2,0
faithful-seed-4,4,train,29,3,R10C5,0
faithful-seed-4,4,train,30,38,R6C4,1
faithful-seed-4,4,train,31,36,R6C2,1
faithful-seed-4,4,train,32,50,R9C1,1
faithful-seed-4,4,train,33,30,R4C5,1
faithful-seed-4,4,train,34,45,R8C1,0
faithful-seed-4,4,train,35,39,R6C5,0
faithful-seed-4,4,train,36,9,R12C2,0
faithful-seed-4,4,train,37,8,R12C1,1
faithful-seed-4,4,train,38,23,R3C3,1
faithful-seed-4,4,train,39,40,R7C1,0
faithful-seed-4,4,train,40,1,R10C3,0
faithful-seed-4,4,train,41,5,R11C3,0
faithful-seed-4,4,train,42,46,R8C2,1
faithful-seed-4,4,test,0,4,R11C1,0
faithful-seed-4,4,test,1,20,R2C5,1
faithful-seed-4,4,test,2,52,R9C3,0
faithful-seed-4,4,test,3,22,R3C2,0
faithful-seed-4,4,test,4,12,R12C5,0
faithful-seed-4,4,test,5,31,R5C1,0
faithful-seed-4,4,test,6,28,R4C3,0
faithful-seed-4,4,test,7,37,R6C3,1
faithful-seed-4,4,test,8,6,R11C4,1
faithful-seed-4,4,test,9,17,R2C2,1
faithful-seed-4,4,test,10,7,R11C5,0
